"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #87","2020-01-17T21:00:30Z","red","4478V","1898A","None","None","76","62G","785B","None","None","1"
"Qualifier #88","2020-01-17T21:04:00Z","red","1898R","242B","None","None","22","2381Z","1353X","None","None","3"
"Qualifier #89","2020-01-17T21:07:30Z","red","4478Z","4180A","None","None","9","25600H","785Z","None","None","6"
"Qualifier #90","2020-01-17T21:11:00Z","red","169E","7121E","None","None","39","4180B","6277B","None","None","23"
"Qualifier #91","2020-01-17T21:14:30Z","blue","134D","9909C","None","None","18","2602A","4344X","None","None","33"
"Qualifier #92","2020-01-17T21:18:00Z","red","25600X","2142E","None","None","45","63857D","785A","None","None","24"
"Qualifier #93","2020-01-17T21:21:30Z","blue","2442A","1353P","None","None","20","2442F","7121D","None","None","51"
"Qualifier #94","2020-01-17T21:25:00Z","blue","977Z","25600S","None","None","19","63857A","9421X","None","None","22"
"Qualifier #95","2020-01-17T21:28:30Z","red","1717B","134C","None","None","27","11442Z","9909D","None","None","18"
"Qualifier #96","2020-01-17T21:32:00Z","red","5150J","285Z","None","None","74","9909F","4478D","None","None","62"
"Qualifier #97","2020-01-17T21:35:30Z","red","242Y","1898M","None","None","41","404S","4478R","None","None","36"
"Qualifier #98","2020-01-17T21:39:00Z","blue","169A","134Z","None","None","11","62K","2442E","None","None","14"
"Qualifier #99","2020-01-17T21:42:30Z","blue","169Z","404Y","None","None","19","134M","375X","None","None","23"
"Qualifier #100","2020-01-17T21:46:00Z","red","62A","2442B","None","None","51","785E","25461Z","None","None","47"
"Qualifier #101","2020-01-17T21:49:30Z","red","169Y","785Z","None","None","22","2602G","4344X","None","None","8"
"Qualifier #102","2020-01-17T21:53:00Z","red","62X","62G","None","None","26","1353X","25600X","None","None","22"
"Qualifier #103","2020-01-17T21:56:30Z","red","41364A","7121D","None","None","29","9909C","2616Z","None","None","18"
"Qualifier #104","2020-01-17T22:00:00Z","red","7121E","5156A","None","None","16","4478V","242B","None","None","12"
"Qualifier #105","2020-01-17T22:03:30Z","blue","9909A","2142D","None","None","3","25600S","2602A","None","None","45"
"Qualifier #106","2020-01-17T22:07:00Z","blue","169X","11442Z","None","None","12","9909F","2442F","None","None","13"
"Qualifier #107","2020-01-17T22:10:30Z","red","242Y","3303D","None","None","33","977Z","785A","None","None","15"
